;Município de notificação;ANO;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez
0;260005 Abreu e Lima;2010;0;0;3;0;1;24;4;42;11;26;24;10
1;260010 Afogados da Ingazeira;2010;0;1;3;14;56;49;7;7;2;7;15;17
2;260020 Afrânio;2010;10;5;12;6;0;1;0;0;0;0;0;0
3;260030 Agrestina;2010;0;1;4;1;0;0;0;0;0;1;0;0
4;260040 Água Preta;2010;0;0;1;16;4;1;4;6;4;3;2;5
5;260050 Águas Belas;2010;0;0;2;0;3;0;0;0;0;0;0;0
6;260060 Alagoinha;2010;0;0;0;0;0;0;0;2;1;2;4;1
7;260070 Aliança;2010;0;0;0;0;1;0;0;0;0;0;1;1
8;260080 Altinho;2010;3;1;19;33;103;27;23;10;0;2;1;1
9;260090 Amaraji;2010;0;0;68;34;25;15;1;0;0;1;1;0
10;260100 Angelim;2010;0;0;1;1;0;1;0;0;0;0;1;0
11;260105 Araçoiaba;2010;0;0;0;4;0;2;1;0;0;0;0;0
12;260110 Araripina;2010;2;8;6;3;10;0;5;1;1;0;2;0
13;260120 Arcoverde;2010;3;0;15;43;45;47;20;10;1;2;5;8
14;260130 Barra de Guabiraba;2010;0;0;0;0;2;1;0;1;0;0;0;0
15;260140 Barreiros;2010;0;1;5;18;87;30;9;9;1;4;2;0
16;260150 Belém de Maria;2010;0;0;1;1;0;0;0;0;0;0;0;0
17;260160 Belém do São Francisco;2010;0;0;3;9;8;1;1;0;0;0;0;0
18;260170 Belo Jardim;2010;0;0;1;20;53;87;39;56;40;17;22;9
19;260180 Betânia;2010;0;0;0;0;1;0;1;0;0;0;0;0
20;260190 Bezerros;2010;8;16;39;11;1;3;0;0;0;0;0;0
21;260200 Bodocó;2010;0;2;36;36;28;26;5;1;2;0;2;0
22;260210 Bom Conselho;2010;1;0;2;11;7;5;5;2;0;0;0;0
23;260220 Bom Jardim;2010;0;0;2;2;15;23;27;5;5;8;1;1
24;260230 Bonito;2010;0;0;1;3;25;12;10;1;4;1;0;0
25;260240 Brejão;2010;0;0;0;4;8;6;2;0;0;0;0;0
26;260250 Brejinho;2010;0;0;1;1;0;0;0;0;0;0;1;0
27;260260 Brejo da Madre de Deus;2010;0;0;0;1;19;8;9;9;3;0;0;0
28;260280 Buíque;2010;0;0;0;1;1;0;0;0;0;0;0;0
29;260290 Cabo de Santo Agostinho;2010;4;6;46;110;438;465;172;105;44;26;24;10
30;260300 Cabrobó;2010;0;0;0;1;0;0;1;0;0;0;0;0
